id,latitude,longitude,cp,pop,adresse,ville
53120002,48.398,-0.755,53120,R,RUE DU CHAMP DE FOIRE,GORRON
53140001,48.4592772097,-0.201907855867,53140,R,zone Normandie Maine,PRé-EN-PAIL
53140002,48.462590020921,-0.19085232277825998,53140,R,RN 12 ROUTE DE PARIS,PRé-EN-PAIL
53140003,48.462590020921,-0.19085232277825998,53140,R,RN 12 ROUTE DE PARIS,Pré-en-Pail
53150001,48.14066,-0.55581,53150,R,Rue de la Libération,Montsûrs
53160002,48.259,-0.373,53160,R,zi de l'aubriere,Bais
53170001,47.954,-0.561,53170,R,RUE DES TILLEULS,Meslay-du-Maine
53190001,48.475,-0.981,53190,R,HAUT DU PLESSIS ROUTE DE LANDIVY,Fougerolles-du-Plessis
53200001,47.824,-0.707,53200,R,PLACE DU CHAMP DE FOIRE,CHâTEAU-GONTIER
53200003,47.836,-0.689,53200,R,11 Avenue René Cassin,Azé
53200005,47.83,-0.686,53203,R,AVENUE GEORGES POMPIDOU,CHâTEAU-GONTIER
53200006,47.815,-0.707,53200,R,30 Avenue des Sablonnières,Saint-Fort
53210001,48.085,-0.643,53210,R,Chemin des marzelles,Argentré
53230001,47.939,-0.915,53230,R,RN 178 BIS,Cossé-le-Vivien
53230003,47.9446195,-0.9110776700000001,53230,R,ROUTE DE CRAON,Cossé-le-Vivien
53240001,48.174,-0.783,53240,R,1 RUE FREDERIC CHAPLET,Andouillé
53240002,48.173,-0.793,53240,R,ZA DE LA MALADRERIE,ANDOUILLE
53270001,48.027067982747,-0.34334785041809,53270,A,A81 Aire de Thorigne,THORIGNé-EN-CHARNIE
53270002,48.027015556982995,-0.34336203889620004,53270,A,AUTOROUTE A81AIRE DE LA VALLEE DE L'ERVE,THORIGNE-EN-CHARNIE
53300003,48.3960695,-0.6246813,53300,R,4 RUE DES VALLEES,Ambrières-les-Vallées
53320002,48.066,-0.935,53320,R,R.D. n 115,LOIRON
53370001,48.40029,-0.10515,53370,R,32 Rue des Avaloirs,Saint-Pierre-des-Nids
53400001,47.843,-0.971,53400,R,Z.A. LA PEPINIERE,CRAON
53400002,47.844,-0.969,53400,R,68 ROUTE DE NANTES,CRAON
53410001,48.161,-0.968,53410,R,Route de Laval,LE BOURGNEUF-LA-FORêT
53410003,48.074,-1.016,53410,R,La Route Neuve,LA GRAVELLE
53410004,48.114,-1.027,53410,R,3 place des Cyprès,Saint-Pierre-la-Cour
53480002,48.039,-0.475,53480,R,le perray,Vaiges
53500001,48.29,-0.928,53500,R,LES SEMONDIERES,ERNEE
53500003,48.297,-0.913,53500,R,ROUTE DE MAYENNE,ERNéE
53500004,48.2923999416,-0.926654863355,53500,R,La Hainaud,ERNEE
53600001,48.147,-0.413,53600,R,ROUTE DE LAVAL,ÉVRON
53600002,48.15,-0.409,53600,R,29 RTE DE LAVAL,ÉVRON
53600003,48.1526137425,-0.404442846935,53600,R,"8, Avenue des Sports",ÉVRON
53600004,48.1558,-0.3825,53600,R,Route de Sillé le Guillaume,Évron
53600007,48.156,-0.403,53600,R,route de Sillé,Evron
53700001,48.340561388988,-0.26950407978172,53700,R,ROUTE DU MANS,Villaines-la-Juhel
53800001,47.79260231,-1.0671957399999998,53800,R,RN 171,RENAZE
53810001,48.1,-0.782,53810,R,Impasse des Sablons,Changé
53940001,48.06544877620001,-0.8105327317640001,53940,R,Bld Louis Armand BP 4239,LAVAL
53950001,48.121,-0.723,53950,R,Route de St Jean,LOUVERNé
53960001,48.095,-0.695,53960,A,A81,Bonchamp-lès-Laval
53960002,48.09629306,-0.69512506,53960,A,A81-LA SAUVAGERIE  AIRE DE LAVAL BONCHAMPS,Bonchamp-lès-Laval
53960003,48.07229,-0.69214,53960,R, Rue du Bois-Hedin,BONCHAMP-LèS-LAVAL
53970001,48.025,-0.769,53970,R,ZONE ARTIZ DE L'AUBEPIN,L'HUISSERIE
54000001,48.682,6.198,54000,R,127 Boulevard Lobau,Nancy
54000003,48.689,6.164,54000,R,6 Avenue de Boufflers,NANCY
54000004,48.7047,6.16986,54000,R,144 Rue du Faubourg des trois Maisons,NANCY
54000005,48.69081,6.19331,54000,R,5 Boulevard Lobau,NANCY
54000007,48.697,6.167,54000,R,44 BOULEVARD ALBERT 1ER,NANCY
54000008,48.692,6.168,54000,R,40 Avenue de la Libération,Nancy
54000009,48.681,6.179,54000,R,47 Boulevard Jean Jaurès,Nancy
54000010,48.705,6.17,54000,R,144 rue du fbg Trois Maisons,NANCY
54000011,48.691,6.193,54000,R,5 BOULEVARD LOBAU,NANCY
54000013,48.689392259323,6.1617566153138,54000,R,6 Avenue de Boufflers,Nancy
54110001,48.61,6.352,54110,R,1 rue Victor Prouvé,DOMBASLE-SUR-MEURTHE
54110002,48.623,6.349,54110,R,69 Rue Gabriel Péri,Dombasle-sur-Meurthe
54120002,48.45803,6.7408,54120,R,16 Rue Sainte-Catherine,Baccarat
54120004,48.442,6.737,54120,R,Route de Lachapelle,DENEUVRE
54121001,48.951,6.038,54121,R,"28, rue Charles de Gaulle",VANDIèRES
54130001,48.702,6.214,54130,R,104 Avenue Carnot,Saint-Max
54130002,48.69998,6.2058,54130,R,29 Avenue Carnot,Saint-Max
54134001,48.53224,6.14953,54134,R,Route de Ceintrey,Ceintrey
54135001,49.49816,5.79061,54135,R,Route Nationale,MEXY
54140001,48.67,6.207,54140,R,Rue de la République,Jarville-la-Malgrange
54150001,49.254,5.937,54150,R,Avenue Albert de Briey,BRIEY
54150002,49.258,5.941,54150,R,Avenue Marguerite Puhl Demange,BRIEY
54150003,49.249036069400006,5.926940539359999,54150,R,Route de Briey,LANTéFONTAINE
54150004,49.249,5.927,54150,R,3 route de BRIEY,Lantéfontaine
54170001,48.52333,5.89412,54170,R,97 Rue Carnot,COLOMBEY-LES-BELLES
54170002,48.53176,5.89806,54170,R,5 Rue Alexandre Iii,Colombey-les-Belles
54170003,48.532,5.898,54170,R,51 RUE ALEXANDRE III,Colombey-les-Belles
54170004,48.578,5.844,54170,R,17 Rue du Curtin,Colombey-les-Belles
54182001,48.641,6.183,54180,R,RD 570,HEILLECOURT
54200002,48.67219,5.88828,54200,R,Rue Paul Keller,TOUL
54200004,48.664,5.912,54200,A,AUTOROUTE A 31,Dommartin-lès-Toul
54200005,48.673,5.886,54200,R,2 Rue Paul Keller,TOUL
54200007,48.6643457679,5.888440480440001,54200,R,678 Avenue du Général Bigeard,TOUL
54200008,48.68,5.872,54200,R,153 Avenue du 15ème Génie,Écrouves
54200009,,,54200,A,AUTOROUTE A31AIRE DE TOUL CHAUDENEY,CHAUDENEY
54200011,,,54200,A,AUTOROUTE A31AIRE DE TOUL CHAUDENEY,CHAUDENEY
54200012,48.67219,5.88828,54200,R,RUE PAUL KELLER,TOUL
54200013,48.680725152168,5.88934449977,54200,R,250 AVENUE DU COLONEL PECHOT,TOUL
54204001,48.674,5.925,54200,R,POLE COMMERCIAL JEANNE D'ARC,DOMMARTIN-LèS-TOUL
54210001,48.634,6.297,54210,R,71 Rue Charles Courtois,Saint-Nicolas-de-Port
54210002,48.62,6.282,54210,R,cc frunshopping bat 5 route de ville en vermois,Saint-Nicolas-de-Port
54220001,48.705,6.192,54220,R,49 Rue du Colonel Driant,Malzéville
54230001,48.615,6.104,54230,R,46 Rue du Capitaine Caillon,Neuves-Maisons
54230002,48.613,6.096,54230,R,Rue Pasteur,NEUVES-MAISONS
54240001,49.22573,6.01531,54240,R,83 rue Franchepré,JOEUF
54240002,49.225,6.014,54240,R,96 Rue de Franchepré,Joeuf
54250001,48.715,6.088,54250,R,Route de Frouard,CHAMPIGNEULLES
54260001,49.507,5.632,54260,R,19 RUE NATIONALE,TELLANCOURT
54260002,,,54260,R,3 rue Irénée Leroy,SAINT-JEAN-LèS-LONGUYON
54260003,49.431691183209,5.6158982609434,54260,R,ROUTE D'ARRANCY,LONGUYON
54270001,48.703,6.246,54270,R,avenue de saulxures,ESSEY-LèS-NANCY
54270002,48.708,6.235,54270,R,55 Avenue du 69ème Régiment d'Infanterie,Essey-lès-Nancy
54280002,48.713243511792,6.2493570160388,54280,R,rn74,SEICHAMPS
54280003,48.713243511792,6.2493570160388,54280,R,RD 674,SEICHAMPS
54290001,48.470178536700004,6.31258506253,54290,R,2 rue de Virecourt,BAYON
54300001,48.578790925599996,6.518311423469999,54300,R,6 rue tuilier,Moncel-lès-Lunéville
54300002,48.59664,6.47738,54300,R,60 Boulevard Georges Pompidou,LUNéVILLE
54300003,48.5844,6.48198,54300,R,16 Avenue de Gerbéviller,LUNéVILLE
54300004,48.6020726642,6.441594030179999,54300,R,A 33 - Aire d'Anthelupt,VITRIMONT
54300005,48.591,6.426,54300,R,RN 333,VITRIMONT
54300006,48.6,6.492,54300,R,Rue Boutet de Monvel,LUNEVILLE
54300007,48.592,6.528,54300,R,1 Rue Denis Papin,Chanteheux
54300008,48.597,6.482,54300,R,74. avenue du Général de Gaulle,LUNEVILLE
54300010,48.589,6.507,54360,R,25 AVENUE P SEMARD,BLAINVILLE SUR L'EAU
54300011,48.590808732744,6.4183868421211,54300,A,AUTOROUTE A33 - AIRE D'ANTHELUPT,VITRIMONT
54300012,48.5844,6.48198,54300,R,16 AVENUE DE GERBEVILLER,LUNEVILLE
54310001,49.22448,5.99863,54310,R,RUE JEAN MOULIN,Homécourt
54320001,48.71,6.175,54320,R,Avenue de la Meurthe,Maxéville
54330001,48.487,6.094,54330,R,"6, Avenue Jacques Leclerc",VÉZELISE
54340001,48.77942,6.13205,54340,R,Z.a.c. de Turlomont,POMPEY
54340002,48.7681291,6.1235612,54340,R,ZA TURLOMONT,POMPEY
54360002,48.557,6.393,54360,R,33 Rue de Lorraine,DAMELEVIèRES
54360003,48.55609809999999,6.3978539,54360,R,25 Avenue Pierre Semard,Blainville-sur-l'Eau
54380003,48.838,6.066,54380,R,Rue Emile Gallé,DIEULOUARD
54380004,48.846,6.071,54380,R,1 AVENUE DU GENERALE DE GAULLE,DIEULOUARD
54380005,48.844,6.07,54380,R,1 Avenue du Général DE GAULLE,DIEULOUARD
54390001,48.742,6.149,54390,R,2 Rue du Bois,Frouard
54390002,48.758,6.136,54390,R,91 Rue de Metz,FROUARD
54400001,49.528,5.763,54400,R,1 Avenue de la Paix,LONGWY
54450001,48.549,6.726,54450,R,4 ROUTE DE STRASBOURG,Ogéviller
54450002,48.644,6.806,54450,R,11 GRANDE RUE,AVRICOURT
54450003,48.58692,6.84452,54450,R,"1, rue du Beuhot",Blâmont
54450004,48.55,6.725,54450,R,8 route de strasbourg,OGEVILLER
54460001,48.75,6.081,54460,R,"32, Route de Frouard",LIVERDUN
54470002,48.947,5.876,54470,R,ZA de la Louviére,THIAUCOURT
54480001,48.579,6.943,54480,R,1.RUE DU PARTERRE,CIREY-SUR-VEZOUZE
54490002,49.30895455,5.7667259600000005,54490,R,RN 106 - ZI DE LA MOURIERE,PIENNES
54500002,48.64965,6.14633,54500,R,AVENUE DE BOURGOGNE,VANDOEUVRE-LèS-NANCY
54500003,48.6545719983,6.1858150169199995,54500,R,Route de mirecourt,VANDOEUVRE-LèS-NANCY
54500004,48.66,6.183,54500,R,22 Avenue Jeanne d'Arc,Vandoeuvre-lès-Nancy
54500005,48.654,6.177,54500,R,2 Rue Bernard Palissy,VANDOEUVRE-LèS-NANCY
54500007,48.655,6.186,54500,R,R.N.57 LE DERNIER SOU,Vandoeuvre-lès-nancy
54500008,48.64965,6.14633,54500,R,2 AVENUE DE BOURGOGNE,Vandoeuvre-lès-nancy
54500009,48.654696659563,6.185531670286499,54500,R,RN 57 le dernier sou,Vandoeuvre
54510001,48.685,6.219,54510,R,AVENUE EUGENE POTTIER,TOMBLAINE
54520001,48.6912106069,6.1277614592,54520,R,rue de la Sapinière,LAXOU
54520002,48.679475141000005,6.1197174924899995,54520,R,CENTRE COMMERCIAL LA CASCADE,Laxou
54520003,48.69415,6.13273,54520,R,10 Avenue de la Résistance,LAXOU
54520004,48.694,6.131,54520,R,12 Avenue de la Résistance,Laxou
54520005,48.694074161799996,6.131897170929999,54520,R,5 Avenue de la Résistance,LAXOU
54520006,48.694,6.133,54520,R,10 AVENUE DE LA RESISTANCE,LAXOU
54520007,48.694074161799996,6.131897170929999,54520,R,5 AVENUE DE LA RESISTANCE,LAXOU
54530002,48.978,6.027,54530,R,Rue Jean Jaurès,Pagny-sur-Moselle
54540002,48.498,6.89,54540,R,6 ter avenue de la division leclerc,Badonviller
54600001,48.67308,6.15342,54600,R,Boulevard des Aiguillettes,VILLERS-LES-NANCY
54600002,48.675,6.163,54600,R,31 boulevard de Baudricourt,VILLERS-LèS-NANCY
54600004,48.657,6.112,54600,R,110 Avenue Paul Muller,VILLERS-LèS-NANCY
54600005,48.67308,6.15342,54600,R,BD DES AIGUILLETTES,Villers-lès-Nancy
54610001,48.88701,6.23214,54610,R, Route de Nancy,NOMENY
54630001,48.607,6.174,54630,A,AUTOROUTE A 330,Richardménil
