id,nom,ouverture,fermeture,ferme,station_id
4,Jeudi,,,,1200001
5,Vendredi,,,,1200001
6,Samedi,,,,1200001
7,Dimanche,,,,1200001
1,Lundi,,,,1200003
2,Mardi,,,,1200003
3,Mercredi,,,,1200003
4,Jeudi,,,,1200003
5,Vendredi,,,,1200003
6,Samedi,,,,1200003
7,Dimanche,,,,1200003
1,Lundi,,,,1210001
2,Mardi,,,,1210001
3,Mercredi,,,,1210001
4,Jeudi,,,,1210001
5,Vendredi,,,,1210001
6,Samedi,,,,1210001
7,Dimanche,,,,1210001
1,Lundi,08.30,20.00,,1210003
2,Mardi,08.30,20.00,,1210003
3,Mercredi,08.30,20.00,,1210003
4,Jeudi,08.30,20.00,,1210003
5,Vendredi,08.30,20.00,,1210003
6,Samedi,08.30,20.00,,1210003
7,Dimanche,,,1,1210003
1,Lundi,07.00,20.00,,1230002
2,Mardi,07.00,20.00,,1230002
3,Mercredi,07.00,20.00,,1230002
4,Jeudi,07.00,20.00,,1230002
5,Vendredi,07.00,20.00,,1230002
6,Samedi,07.30,13.00,,1230002
7,Dimanche,,,1,1230002
1,Lundi,,,,1250002
2,Mardi,,,,1250002
3,Mercredi,,,,1250002
4,Jeudi,,,,1250002
5,Vendredi,,,,1250002
6,Samedi,,,,1250002
7,Dimanche,,,,1250002
1,Lundi,,,1,1270003
2,Mardi,,,1,1270003
3,Mercredi,,,1,1270003
4,Jeudi,,,1,1270003
5,Vendredi,,,1,1270003
6,Samedi,,,1,1270003
7,Dimanche,,,1,1270003
1,Lundi,,,,1290001
2,Mardi,,,,1290001
3,Mercredi,,,,1290001
4,Jeudi,,,,1290001
5,Vendredi,,,,1290001
6,Samedi,,,,1290001
7,Dimanche,,,,1290001
1,Lundi,,,,1300001
2,Mardi,,,,1300001
3,Mercredi,,,,1300001
4,Jeudi,,,,1300001
5,Vendredi,,,,1300001
6,Samedi,,,,1300001
7,Dimanche,,,,1300001
1,Lundi,,,,1300003
2,Mardi,,,,1300003
3,Mercredi,,,,1300003
4,Jeudi,,,,1300003
5,Vendredi,,,,1300003
6,Samedi,,,,1300003
7,Dimanche,,,,1300003
1,Lundi,,,,1310003
2,Mardi,,,,1310003
3,Mercredi,,,,1310003
4,Jeudi,,,,1310003
5,Vendredi,,,,1310003
6,Samedi,,,,1310003
7,Dimanche,,,,1310003
1,Lundi,,,,1320001
2,Mardi,,,,1320001
3,Mercredi,,,,1320001
4,Jeudi,,,,1320001
5,Vendredi,,,,1320001
6,Samedi,,,,1320001
7,Dimanche,,,,1320001
