service,station_id
"Vente de gaz domestique (Butane, Propane)",1150002
Wifi,1150002
Automate CB 24/24,1150002
DAB (Distributeur automatique de billets),1150002
Boutique alimentaire,1160001
Boutique non alimentaire,1160001
Station de gonflage,1160001
Carburant additivé,1160001
Piste poids lourds,1160001
Lavage manuel,1160001
DAB (Distributeur automatique de billets),1160001
Toilettes publiques,1160002
Laverie,1160002
Relais colis,1160002
Boutique alimentaire,1160002
Boutique non alimentaire,1160002
Restauration à emporter,1160002
Restauration sur place,1160002
Station de gonflage,1160002
Aire de camping-cars,1160002
Location de véhicule,1160002
Piste poids lourds,1160002
Lavage automatique,1160002
Lavage manuel,1160002
"Vente de gaz domestique (Butane, Propane)",1160002
DAB (Distributeur automatique de billets),1160002
Toilettes publiques,1160003
Station de gonflage,1160003
Location de véhicule,1160003
Lavage automatique,1160003
"Vente de gaz domestique (Butane, Propane)",1160003
Automate CB 24/24,1160003
DAB (Distributeur automatique de billets),1160003
Toilettes publiques,1170001
Relais colis,1170001
Boutique alimentaire,1170001
Boutique non alimentaire,1170001
Restauration à emporter,1170001
Vente de pétrole lampant,1170001
Location de véhicule,1170001
Piste poids lourds,1170001
"Vente de gaz domestique (Butane, Propane)",1170001
DAB (Distributeur automatique de billets),1170001
Boutique alimentaire,1170002
Boutique non alimentaire,1170002
Bar,1170002
Piste poids lourds,1170002
Services réparation / entretien,1170002
"Vente de gaz domestique (Butane, Propane)",1170002
Automate CB 24/24,1170002
DAB (Distributeur automatique de billets),1170002
"Vente de gaz domestique (Butane, Propane)",1170003
DAB (Distributeur automatique de billets),1170003
Toilettes publiques,1170005
Relais colis,1170005
Boutique alimentaire,1170005
Boutique non alimentaire,1170005
Station de gonflage,1170005
"Vente de gaz domestique (Butane, Propane)",1170005
DAB (Distributeur automatique de billets),1170005
Toilettes publiques,1190001
Laverie,1190001
Boutique alimentaire,1190001
Boutique non alimentaire,1190001
Aire de camping-cars,1190001
"Vente de gaz domestique (Butane, Propane)",1190001
Automate CB 24/24,1190001
"Vente de gaz domestique (Butane, Propane)",1200001
DAB (Distributeur automatique de billets),1200001
Vente de pétrole lampant,1200003
"Vente de gaz domestique (Butane, Propane)",1200003
DAB (Distributeur automatique de billets),1200003
"Vente de gaz domestique (Butane, Propane)",1210001
DAB (Distributeur automatique de billets),1210001
Boutique alimentaire,1210002
Boutique non alimentaire,1210002
Station de gonflage,1210002
Carburant additivé,1210002
Piste poids lourds,1210002
Lavage automatique,1210002
Lavage manuel,1210002
Services réparation / entretien,1210002
DAB (Distributeur automatique de billets),1210002
Station de gonflage,1210003
Piste poids lourds,1210003
"Vente de gaz domestique (Butane, Propane)",1210003
Automate CB 24/24,1210003
DAB (Distributeur automatique de billets),1210003
Toilettes publiques,1220001
Boutique alimentaire,1220001
Boutique non alimentaire,1220001
Restauration à emporter,1220001
Carburant additivé,1220001
Location de véhicule,1220001
Espace bébé,1220001
"Vente de gaz domestique (Butane, Propane)",1220001
DAB (Distributeur automatique de billets),1220001
Toilettes publiques,1230002
Station de gonflage,1230002
Carburant additivé,1230002
Espace bébé,1230002
Services réparation / entretien,1230002
"Vente de gaz domestique (Butane, Propane)",1230002
Wifi,1230002
Automate CB 24/24,1230002
Toilettes publiques,1230003
Station de gonflage,1230003
Carburant additivé,1230003
Piste poids lourds,1230003
"Vente de gaz domestique (Butane, Propane)",1230003
DAB (Distributeur automatique de billets),1230003
Boutique alimentaire,1250001
Boutique non alimentaire,1250001
Station de gonflage,1250001
Carburant additivé,1250001
Piste poids lourds,1250001
DAB (Distributeur automatique de billets),1250001
Toilettes publiques,1250002
Douches,1250002
Boutique alimentaire,1250002
Boutique non alimentaire,1250002
Restauration à emporter,1250002
Restauration sur place,1250002
Station de gonflage,1250002
Carburant additivé,1250002
Piste poids lourds,1250002
Espace bébé,1250002
Toilettes publiques,1250004
Boutique alimentaire,1250004
Boutique non alimentaire,1250004
Vente de fioul domestique,1250004
Station de gonflage,1250004
Carburant additivé,1250004
Piste poids lourds,1250004
"Vente de gaz domestique (Butane, Propane)",1250004
Toilettes publiques,1270002
Boutique non alimentaire,1270002
Restauration à emporter,1270002
Station de gonflage,1270002
Carburant additivé,1270002
Piste poids lourds,1270002
"Vente de gaz domestique (Butane, Propane)",1270002
DAB (Distributeur automatique de billets),1270002
Vente de fioul domestique,1270003
Station de gonflage,1270003
Carburant additivé,1270003
Piste poids lourds,1270003
Lavage automatique,1270003
Automate CB 24/24,1270003
Toilettes publiques,1290001
Relais colis,1290001
Boutique alimentaire,1290001
Boutique non alimentaire,1290001
Station de gonflage,1290001
Location de véhicule,1290001
Lavage automatique,1290001
"Vente de gaz domestique (Butane, Propane)",1290001
Automate CB 24/24,1290001
DAB (Distributeur automatique de billets),1290001
Station de gonflage,1300001
Lavage automatique,1300001
Lavage manuel,1300001
"Vente de gaz domestique (Butane, Propane)",1300002
DAB (Distributeur automatique de billets),1300002
Toilettes publiques,1300003
Laverie,1300003
Lavage automatique,1300003
"Vente de gaz domestique (Butane, Propane)",1300003
Automate CB 24/24,1300003
DAB (Distributeur automatique de billets),1300003
Boutique alimentaire,1310001
Boutique non alimentaire,1310001
Station de gonflage,1310001
Carburant additivé,1310001
Piste poids lourds,1310001
Lavage automatique,1310001
Lavage manuel,1310001
Services réparation / entretien,1310001
"Vente de gaz domestique (Butane, Propane)",1310001
DAB (Distributeur automatique de billets),1310001
Station de gonflage,1310003
Aire de camping-cars,1310003
Piste poids lourds,1310003
"Vente de gaz domestique (Butane, Propane)",1310003
Automate CB 24/24,1310003
DAB (Distributeur automatique de billets),1310003
Boutique non alimentaire,1320001
Station de gonflage,1320001
Carburant additivé,1320001
Services réparation / entretien,1320001
"Vente de gaz domestique (Butane, Propane)",1320001
Automate CB 24/24,1320001
DAB (Distributeur automatique de billets),1320001
DAB (Distributeur automatique de billets),1320002
Toilettes publiques,1330001
Boutique alimentaire,1330001
Boutique non alimentaire,1330001
Station de gonflage,1330001
Carburant additivé,1330001
Piste poids lourds,1330001
Lavage manuel,1330001
"Vente de gaz domestique (Butane, Propane)",1330001
DAB (Distributeur automatique de billets),1330001
Toilettes publiques,1330002
Laverie,1330002
Relais colis,1330002
Station de gonflage,1330002
Location de véhicule,1330002
Piste poids lourds,1330002
Lavage automatique,1330002
Lavage manuel,1330002
"Vente de gaz domestique (Butane, Propane)",1330002
Vente d'additifs carburants,1330002
Automate CB 24/24,1330002
Boutique non alimentaire,1330003
Station de gonflage,1330003
Piste poids lourds,1330003
Services réparation / entretien,1330003
Bornes électriques,1330003
Vente d'additifs carburants,1330003
Automate CB 24/24,1330003
Boutique non alimentaire,1340002
Station de gonflage,1340002
Carburant additivé,1340002
Lavage automatique,1340002
Lavage manuel,1340002
Services réparation / entretien,1340002
"Vente de gaz domestique (Butane, Propane)",1340002
Automate CB 24/24,1340002
DAB (Distributeur automatique de billets),1340002
Laverie,1340003
Station de gonflage,1340003
Location de véhicule,1340003
Piste poids lourds,1340003
"Vente de gaz domestique (Butane, Propane)",1340003
Automate CB 24/24,1340003
DAB (Distributeur automatique de billets),1340003
Boutique non alimentaire,1340004
Station de gonflage,1340004
Services réparation / entretien,1340004
"Vente de gaz domestique (Butane, Propane)",1340004
Vente d'additifs carburants,1340004
Automate CB 24/24,1340004
Toilettes publiques,1340005
Relais colis,1340005
Boutique alimentaire,1340005
Boutique non alimentaire,1340005
Restauration à emporter,1340005
Location de véhicule,1340005
"Vente de gaz domestique (Butane, Propane)",1350001
DAB (Distributeur automatique de billets),1350001
Station de gonflage,1350003
Lavage automatique,1350003
Lavage manuel,1350003
Automate CB 24/24,1350003
DAB (Distributeur automatique de billets),1350003
Laverie,1350004
Boutique alimentaire,1350004
Lavage automatique,1350004
Lavage manuel,1350004
"Vente de gaz domestique (Butane, Propane)",1350004
Automate CB 24/24,1350004
Toilettes publiques,1360002
Station de gonflage,1360002
Carburant additivé,1360002
Lavage automatique,1360002
Lavage manuel,1360002
Toilettes publiques,1370001
Boutique alimentaire,1370001
Boutique non alimentaire,1370001
Restauration à emporter,1370001
Station de gonflage,1370001
Carburant additivé,1370001
Aire de camping-cars,1370001
